epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6033,2.45417,6.88078,2.29497,0.66398,0.0978,0.17619,0.13539,2.22593,5.8447,2.19732,0.000253547,0.000253547,0.000253547
2,52.5308,2.65383,4.83191,2.40919,0.53277,0.24653,0.23938,0.16931,2.46737,3.70686,2.39722,0.000506515,0.000506515,0.000506515
3,67.205,2.70638,4.51591,2.46446,0.47511,0.27615,0.2362,0.15739,2.61231,3.90143,2.52874,0.0007561,0.0007561,0.0007561
4,81.7382,2.75405,4.25619,2.46613,0.51746,0.28169,0.27171,0.19132,2.636,3.67881,2.52918,0.000753774,0.000753774,0.000753774
5,96.3205,2.70551,4.05876,2.4568,0.3861,0.30167,0.27368,0.1881,2.60218,3.66315,2.44832,0.000748698,0.000748698,0.000748698
6,111.183,2.74077,3.92233,2.44512,0.39006,0.3264,0.30453,0.21189,2.51238,3.27485,2.39338,0.000743623,0.000743623,0.000743623
7,126.133,2.68409,3.75994,2.41736,0.45173,0.33161,0.33115,0.23389,2.49539,3.17397,2.40314,0.000738548,0.000738548,0.000738548
8,141.083,2.65492,3.59927,2.40472,0.4836,0.32362,0.33267,0.23262,2.54278,3.26091,2.43157,0.000733472,0.000733472,0.000733472
9,156.001,2.60246,3.48644,2.39499,0.46615,0.32958,0.34015,0.23963,2.44486,3.04969,2.37995,0.000728397,0.000728397,0.000728397
10,170.683,2.61196,3.36594,2.38392,0.35806,0.33359,0.33292,0.239,2.45498,3.24873,2.36636,0.000723321,0.000723321,0.000723321
11,185.59,2.59082,3.32264,2.36503,0.51859,0.34374,0.35156,0.25122,2.44187,3.18156,2.3571,0.000718246,0.000718246,0.000718246
12,200.599,2.55869,3.20244,2.34694,0.34342,0.36181,0.34127,0.24381,2.41307,3.08681,2.33124,0.000713171,0.000713171,0.000713171
13,215.349,2.51912,3.14956,2.33682,0.53598,0.37652,0.38224,0.27133,2.39041,3.02963,2.34377,0.000708095,0.000708095,0.000708095
14,229.939,2.48583,3.06683,2.3397,0.43195,0.39098,0.37635,0.27304,2.34896,2.8027,2.30834,0.00070302,0.00070302,0.00070302
15,244.441,2.46743,2.98817,2.30781,0.51075,0.39021,0.37709,0.26459,2.43747,2.87699,2.35253,0.000697944,0.000697944,0.000697944
16,259.101,2.47801,2.99185,2.32675,0.4468,0.43231,0.40479,0.28962,2.43766,2.80569,2.36323,0.000692869,0.000692869,0.000692869
17,274.029,2.44014,2.91061,2.29609,0.42568,0.47214,0.39536,0.2825,2.37109,2.85829,2.30798,0.000687794,0.000687794,0.000687794
18,288.968,2.48222,2.89913,2.3013,0.39066,0.43027,0.41004,0.29958,2.37648,2.73241,2.30874,0.000682718,0.000682718,0.000682718
19,303.673,2.43377,2.85993,2.27844,0.44783,0.4279,0.42435,0.31102,2.3336,2.69216,2.28303,0.000677643,0.000677643,0.000677643
20,318.507,2.42847,2.78024,2.27332,0.39861,0.40089,0.38138,0.28215,2.32326,2.84317,2.28988,0.000672567,0.000672567,0.000672567
21,333.508,2.40259,2.783,2.2793,0.47294,0.40196,0.41377,0.30049,2.35804,2.66465,2.27821,0.000667492,0.000667492,0.000667492
22,348.396,2.39483,2.72461,2.2758,0.45825,0.41782,0.41871,0.31248,2.31417,2.62183,2.2608,0.000662417,0.000662417,0.000662417
23,363.168,2.40232,2.72175,2.25223,0.41751,0.40855,0.39743,0.28843,2.33417,2.6676,2.28691,0.000657341,0.000657341,0.000657341
24,377.852,2.36734,2.6546,2.26378,0.4929,0.42999,0.43706,0.31786,2.32316,2.64406,2.28178,0.000652266,0.000652266,0.000652266
25,392.364,2.37785,2.63367,2.24273,0.44256,0.38611,0.42521,0.31497,2.34159,2.57961,2.2842,0.00064719,0.00064719,0.00064719
26,406.882,2.34599,2.60822,2.22901,0.41192,0.45005,0.412,0.30489,2.332,2.7993,2.29445,0.000642115,0.000642115,0.000642115
27,421.35,2.34233,2.57139,2.23531,0.48688,0.38955,0.44228,0.32527,2.27528,2.54786,2.25816,0.00063704,0.00063704,0.00063704
28,436.183,2.35763,2.54047,2.22626,0.4626,0.45564,0.43127,0.31909,2.29295,2.6744,2.26736,0.000631964,0.000631964,0.000631964
29,450.874,2.35575,2.56985,2.23742,0.44239,0.47653,0.45101,0.32958,2.31839,2.56059,2.27705,0.000626889,0.000626889,0.000626889
30,465.693,2.32076,2.52637,2.22365,0.47595,0.45905,0.45068,0.3251,2.29654,2.54592,2.26465,0.000621813,0.000621813,0.000621813
31,480.505,2.30564,2.48309,2.20931,0.51719,0.42727,0.44523,0.33195,2.27442,2.57247,2.25572,0.000616738,0.000616738,0.000616738
32,495.364,2.31946,2.49016,2.21814,0.43951,0.46108,0.45114,0.33235,2.30848,2.48472,2.26124,0.000611663,0.000611663,0.000611663
33,510.166,2.32619,2.48583,2.22541,0.45449,0.44181,0.44578,0.33506,2.25534,2.49692,2.24377,0.000606587,0.000606587,0.000606587
34,524.785,2.32026,2.45674,2.2033,0.46657,0.47327,0.44864,0.33181,2.34171,2.57019,2.27387,0.000601512,0.000601512,0.000601512
35,539.548,2.30979,2.40976,2.19458,0.48808,0.46834,0.45847,0.34634,2.19644,2.46806,2.21332,0.000596436,0.000596436,0.000596436
36,554.414,2.25738,2.38561,2.19947,0.52973,0.3908,0.44067,0.3322,2.269,2.53361,2.25548,0.000591361,0.000591361,0.000591361
37,569.03,2.26273,2.36382,2.19373,0.5093,0.47255,0.46422,0.34854,2.26631,2.4884,2.25622,0.000586286,0.000586286,0.000586286
38,583.769,2.26508,2.36813,2.1964,0.50734,0.45994,0.46251,0.3453,2.25571,2.50997,2.25435,0.00058121,0.00058121,0.00058121
39,598.71,2.26244,2.33637,2.19125,0.47625,0.46446,0.45873,0.34615,2.25645,2.4751,2.25382,0.000576135,0.000576135,0.000576135
40,613.503,2.24596,2.31861,2.17044,0.47851,0.4857,0.48023,0.35587,2.26916,2.41589,2.2461,0.000571059,0.000571059,0.000571059
41,628.05,2.22854,2.29957,2.18266,0.45912,0.50504,0.48004,0.36124,2.21985,2.42533,2.21766,0.000565984,0.000565984,0.000565984
42,642.794,2.23145,2.28721,2.15937,0.51392,0.44249,0.46594,0.34506,2.23626,2.44332,2.22494,0.000560909,0.000560909,0.000560909
43,657.499,2.23171,2.28942,2.16275,0.50895,0.49833,0.48571,0.35632,2.28025,2.39059,2.24819,0.000555833,0.000555833,0.000555833
44,672.169,2.2398,2.25852,2.1756,0.49214,0.48099,0.48102,0.35735,2.20641,2.42974,2.21842,0.000550758,0.000550758,0.000550758
45,687.062,2.21175,2.22493,2.15805,0.49912,0.50216,0.48706,0.35878,2.2817,2.5389,2.26665,0.000545682,0.000545682,0.000545682
46,701.946,2.17179,2.22281,2.16346,0.58578,0.43069,0.4705,0.35773,2.22293,2.46347,2.23355,0.000540607,0.000540607,0.000540607
47,716.611,2.19661,2.21267,2.1471,0.52643,0.49418,0.49547,0.37148,2.26322,2.39503,2.24238,0.000535532,0.000535532,0.000535532
48,731.534,2.15693,2.19511,2.1419,0.54827,0.50949,0.49952,0.37465,2.22102,2.37135,2.20879,0.000530456,0.000530456,0.000530456
49,746.243,2.17761,2.17942,2.14078,0.45968,0.53924,0.49475,0.37686,2.1978,2.34559,2.21169,0.000525381,0.000525381,0.000525381
50,761.044,2.16651,2.15685,2.13422,0.52617,0.48641,0.47556,0.35955,2.22745,2.46805,2.20925,0.000520305,0.000520305,0.000520305
51,775.638,2.18102,2.13746,2.14456,0.53523,0.48557,0.48684,0.37282,2.16973,2.33572,2.18876,0.00051523,0.00051523,0.00051523
52,790.384,2.16031,2.1679,2.13789,0.53442,0.48641,0.48463,0.36932,2.20783,2.34268,2.21199,0.000510155,0.000510155,0.000510155
53,805.106,2.16186,2.14482,2.12744,0.60559,0.47925,0.50075,0.37526,2.23973,2.35687,2.23477,0.000505079,0.000505079,0.000505079
54,820.052,2.13877,2.09472,2.12772,0.53294,0.50582,0.49404,0.37116,2.22174,2.36712,2.22269,0.000500004,0.000500004,0.000500004
55,834.885,2.17308,2.08169,2.11122,0.49185,0.48906,0.48491,0.3681,2.21218,2.36768,2.21337,0.000494928,0.000494928,0.000494928
56,849.593,2.14702,2.09356,2.11989,0.53458,0.51913,0.49415,0.38243,2.1861,2.31013,2.20608,0.000489853,0.000489853,0.000489853
57,864.538,2.15186,2.07997,2.11597,0.56517,0.46747,0.48535,0.36692,2.20831,2.3827,2.21456,0.000484778,0.000484778,0.000484778
58,879.258,2.13784,2.06072,2.1062,0.52103,0.48233,0.4922,0.37276,2.17965,2.40107,2.19708,0.000479702,0.000479702,0.000479702
59,894.217,2.11866,2.02835,2.1036,0.53266,0.52013,0.50259,0.38409,2.18042,2.29689,2.20229,0.000474627,0.000474627,0.000474627
60,908.985,2.10434,2.02064,2.10863,0.56541,0.46651,0.48678,0.36882,2.1764,2.29268,2.19332,0.000469551,0.000469551,0.000469551
61,923.769,2.12842,2.03384,2.10442,0.54838,0.49235,0.49949,0.38508,2.1894,2.29986,2.21293,0.000464476,0.000464476,0.000464476
62,938.581,2.12818,2.05477,2.10412,0.51039,0.50487,0.4906,0.37486,2.18486,2.30052,2.20768,0.000459401,0.000459401,0.000459401
