epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,459.843,0.97802,0.93962,1.05805,0.64795,0.47194,0.53081,0.40423,1.04297,1.08405,1.119,0.000560909,0.000560909,0.000560909
43,470.703,0.98162,0.94857,1.06308,0.55937,0.51623,0.51568,0.39016,1.03268,1.05176,1.10037,0.000555833,0.000555833,0.000555833
44,481.574,0.97872,0.93478,1.06287,0.52195,0.48972,0.51739,0.39821,1.03134,1.07618,1.09963,0.000550758,0.000550758,0.000550758
45,492.382,0.97714,0.92697,1.05805,0.5124,0.5062,0.51135,0.38655,1.02465,1.06823,1.09753,0.000545682,0.000545682,0.000545682
46,503.334,0.96807,0.93193,1.06405,0.5487,0.49214,0.51558,0.38164,1.03443,1.06493,1.10209,0.000540607,0.000540607,0.000540607
47,514.409,0.95657,0.91398,1.05433,0.55339,0.50888,0.53584,0.40248,1.02706,1.09259,1.10778,0.000535532,0.000535532,0.000535532
48,525.472,0.94697,0.9088,1.05551,0.65347,0.48031,0.51034,0.38469,1.0557,1.07322,1.11869,0.000530456,0.000530456,0.000530456
49,536.511,0.95335,0.89876,1.0496,0.53865,0.51061,0.53591,0.40522,1.03982,1.04493,1.10942,0.000525381,0.000525381,0.000525381
50,547.462,0.95381,0.89621,1.04641,0.4699,0.51688,0.49999,0.37486,1.04319,1.11041,1.10602,0.000520305,0.000520305,0.000520305
51,558.45,0.95969,0.89357,1.0492,0.54454,0.53442,0.53298,0.40756,1.03175,1.07335,1.10433,0.00051523,0.00051523,0.00051523
52,569.318,0.94483,0.90251,1.05175,0.60399,0.52109,0.52687,0.39218,1.0346,1.06139,1.1066,0.000510155,0.000510155,0.000510155
53,580.206,0.95136,0.89756,1.04666,0.58311,0.49529,0.53122,0.40195,1.03265,1.06928,1.10813,0.000505079,0.000505079,0.000505079
54,591.335,0.94273,0.86908,1.04558,0.57769,0.48906,0.53068,0.40052,1.04614,1.07246,1.1146,0.000500004,0.000500004,0.000500004
55,602.328,0.94536,0.86798,1.03554,0.57875,0.5238,0.54136,0.40422,1.03551,1.06438,1.10519,0.000494928,0.000494928,0.000494928
56,613.184,0.94038,0.8694,1.03934,0.60065,0.52322,0.54587,0.40806,1.01449,1.03786,1.09028,0.000489853,0.000489853,0.000489853
57,624.019,0.94265,0.86551,1.03862,0.54287,0.53932,0.52815,0.39559,1.03139,1.08527,1.10624,0.000484778,0.000484778,0.000484778
58,635.056,0.93418,0.85632,1.03564,0.61803,0.48764,0.53682,0.40478,1.02786,1.04327,1.10169,0.000479702,0.000479702,0.000479702
59,646.098,0.93125,0.85706,1.03677,0.57892,0.49969,0.5341,0.40424,1.03108,1.07445,1.10414,0.000474627,0.000474627,0.000474627
60,656.909,0.91974,0.8435,1.03534,0.56375,0.50829,0.5188,0.38791,1.02398,1.04759,1.09275,0.000469551,0.000469551,0.000469551
61,667.761,0.92551,0.84786,1.03011,0.53774,0.50837,0.53688,0.40569,1.03167,1.06609,1.10464,0.000464476,0.000464476,0.000464476
62,678.628,0.93349,0.85001,1.03662,0.60616,0.45964,0.52306,0.39588,1.03363,1.04971,1.11251,0.000459401,0.000459401,0.000459401
63,689.591,0.92359,0.82808,1.02612,0.53305,0.55322,0.53707,0.40269,1.02235,1.05876,1.09812,0.000454325,0.000454325,0.000454325
64,700.84,0.91919,0.83407,1.0278,0.58609,0.52362,0.5354,0.40882,1.02369,1.05276,1.09648,0.00044925,0.00044925,0.00044925
65,711.793,0.91659,0.8341,1.02634,0.57295,0.544,0.55746,0.41901,1.02976,1.06144,1.10949,0.000444174,0.000444174,0.000444174
66,722.724,0.91915,0.83272,1.03422,0.55407,0.53906,0.54057,0.40827,1.02018,1.04631,1.10119,0.000439099,0.000439099,0.000439099
67,733.654,0.9085,0.8179,1.02638,0.49183,0.57357,0.52869,0.39562,1.01478,1.07067,1.09347,0.000434024,0.000434024,0.000434024
68,744.486,0.90094,0.80086,1.02335,0.5631,0.50161,0.52582,0.40241,1.01473,1.03751,1.10058,0.000428948,0.000428948,0.000428948
69,755.385,0.91436,0.81606,1.02397,0.56253,0.55018,0.54711,0.40927,1.02059,1.03235,1.10825,0.000423873,0.000423873,0.000423873
70,766.252,0.89504,0.81076,1.01768,0.55849,0.49865,0.52327,0.39343,1.02308,1.04897,1.10089,0.000418797,0.000418797,0.000418797
71,777.11,0.9034,0.79969,1.02393,0.64766,0.46948,0.53703,0.41112,1.00921,1.05158,1.09987,0.000413722,0.000413722,0.000413722
72,788.004,0.9002,0.80193,1.02145,0.57585,0.49703,0.52169,0.39502,1.02135,1.05138,1.10412,0.000408647,0.000408647,0.000408647
73,798.842,0.89855,0.78547,1.01258,0.56107,0.52233,0.53877,0.40446,1.00832,1.05919,1.09518,0.000403571,0.000403571,0.000403571
74,809.657,0.88782,0.77837,1.01228,0.54234,0.5271,0.52925,0.40131,1.01377,1.00735,1.10194,0.000398496,0.000398496,0.000398496
75,820.443,0.88945,0.79362,1.01686,0.61027,0.48037,0.53515,0.40444,1.01066,1.02773,1.09402,0.00039342,0.00039342,0.00039342
76,831.348,0.90163,0.78985,1.01579,0.567,0.53662,0.52403,0.39277,1.01524,1.06354,1.09861,0.000388345,0.000388345,0.000388345
77,842.253,0.87956,0.7775,1.01084,0.56335,0.56667,0.54938,0.41623,1.00416,1.03593,1.09297,0.00038327,0.00038327,0.00038327
78,853.113,0.88032,0.7664,1.01131,0.58362,0.52128,0.53113,0.41068,1.01729,1.06454,1.10275,0.000378194,0.000378194,0.000378194
79,863.99,0.8815,0.77964,1.01306,0.54833,0.53586,0.54344,0.41679,1.00943,1.04055,1.09608,0.000373119,0.000373119,0.000373119
80,874.79,0.87564,0.76246,1.00802,0.57282,0.54408,0.54083,0.41132,1.02059,1.03055,1.1053,0.000368043,0.000368043,0.000368043
81,885.665,0.87667,0.76577,1.01165,0.55057,0.54942,0.54578,0.41699,1.00833,1.05435,1.10087,0.000362968,0.000362968,0.000362968
82,896.528,0.87942,0.76345,1.01079,0.59663,0.53643,0.5493,0.40883,1.01907,1.03263,1.10115,0.000357893,0.000357893,0.000357893
83,907.386,0.8665,0.75413,1.01038,0.59012,0.53859,0.54947,0.41435,1.00733,1.03407,1.09756,0.000352817,0.000352817,0.000352817
