epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,484.202,1.00797,0.98652,1.07054,0.49747,0.51663,0.50842,0.37695,1.0441,1.08231,1.11879,0.000560909,0.000560909,0.000560909
43,495.797,0.99791,0.98075,1.07132,0.54838,0.47601,0.51561,0.38184,1.03362,1.08483,1.10763,0.000555833,0.000555833,0.000555833
44,507.383,1.00233,0.98078,1.07524,0.63079,0.48234,0.53454,0.39194,1.03038,1.09961,1.1022,0.000550758,0.000550758,0.000550758
45,518.709,1.00307,0.96585,1.06512,0.55902,0.49444,0.52353,0.38646,1.04858,1.07397,1.11119,0.000545682,0.000545682,0.000545682
46,529.984,0.98726,0.95643,1.072,0.5209,0.53496,0.52697,0.39356,1.02545,1.08234,1.08927,0.000540607,0.000540607,0.000540607
47,541.469,0.98354,0.95322,1.06191,0.62424,0.49755,0.50884,0.37924,1.03984,1.07193,1.09876,0.000535532,0.000535532,0.000535532
48,552.995,0.96903,0.93801,1.06102,0.55733,0.50687,0.51994,0.38552,1.02328,1.07763,1.09915,0.000530456,0.000530456,0.000530456
49,564.629,0.97678,0.94208,1.05918,0.54364,0.53836,0.53305,0.39497,1.03779,1.0358,1.10407,0.000525381,0.000525381,0.000525381
50,576.498,0.97831,0.92495,1.05674,0.51674,0.53426,0.51443,0.38992,1.02401,1.05713,1.10183,0.000520305,0.000520305,0.000520305
51,587.929,0.9788,0.91613,1.06187,0.51957,0.51513,0.51321,0.38638,1.03623,1.07002,1.10244,0.00051523,0.00051523,0.00051523
52,599.343,0.97034,0.92519,1.0628,0.71736,0.44794,0.51035,0.38702,1.03406,1.04901,1.09883,0.000510155,0.000510155,0.000510155
53,610.634,0.96752,0.91957,1.0543,0.50918,0.54225,0.51759,0.38174,1.03297,1.03817,1.10514,0.000505079,0.000505079,0.000505079
54,622.011,0.96487,0.90221,1.05511,0.55077,0.51272,0.51211,0.38467,1.03557,1.08951,1.10748,0.000500004,0.000500004,0.000500004
55,633.297,0.9803,0.90435,1.05049,0.48833,0.52612,0.50023,0.37577,1.02354,1.08795,1.0973,0.000494928,0.000494928,0.000494928
56,644.613,0.96604,0.89753,1.05031,0.61426,0.46197,0.52323,0.39391,1.03656,1.05587,1.09731,0.000489853,0.000489853,0.000489853
57,656.04,0.96765,0.89283,1.04858,0.54397,0.51126,0.51611,0.38289,1.04413,1.07847,1.1073,0.000484778,0.000484778,0.000484778
58,667.524,0.95853,0.8831,1.04527,0.57464,0.52538,0.52906,0.3985,1.03317,1.06421,1.10046,0.000479702,0.000479702,0.000479702
59,678.923,0.96372,0.89431,1.0478,0.57309,0.52377,0.53629,0.40218,1.00767,1.03191,1.09226,0.000474627,0.000474627,0.000474627
60,690.345,0.94878,0.87708,1.04819,0.58428,0.49813,0.52172,0.39282,1.03171,1.06876,1.09615,0.000469551,0.000469551,0.000469551
61,701.736,0.95374,0.88708,1.0408,0.56387,0.52523,0.54188,0.41101,1.01059,1.05485,1.09577,0.000464476,0.000464476,0.000464476
62,713.175,0.95002,0.87098,1.04241,0.59041,0.53498,0.52315,0.39329,1.02691,1.03739,1.09632,0.000459401,0.000459401,0.000459401
63,724.746,0.94588,0.85898,1.03502,0.51525,0.53349,0.52308,0.39599,1.03499,1.03171,1.10258,0.000454325,0.000454325,0.000454325
64,736.293,0.93525,0.86473,1.03571,0.5779,0.51074,0.52261,0.39456,1.02453,1.02597,1.0993,0.00044925,0.00044925,0.00044925
65,747.805,0.94091,0.86832,1.03863,0.59595,0.53102,0.54788,0.41092,1.00746,1.02712,1.09344,0.000444174,0.000444174,0.000444174
66,759.252,0.93869,0.85525,1.03913,0.59961,0.49943,0.52791,0.39711,1.0218,1.04278,1.09464,0.000439099,0.000439099,0.000439099
67,770.701,0.93276,0.84522,1.03642,0.56116,0.53155,0.52947,0.396,1.02274,1.03021,1.09493,0.000434024,0.000434024,0.000434024
68,782.342,0.92143,0.82756,1.03052,0.53811,0.52313,0.53398,0.40285,1.01905,1.0145,1.10295,0.000428948,0.000428948,0.000428948
69,793.643,0.9321,0.84227,1.03021,0.56756,0.53307,0.53229,0.39588,1.01807,1.03873,1.10495,0.000423873,0.000423873,0.000423873
70,805.351,0.92244,0.85,1.02966,0.60667,0.50908,0.54343,0.41265,1.00374,1.02281,1.08713,0.000418797,0.000418797,0.000418797
71,816.807,0.92071,0.82296,1.03299,0.68385,0.48528,0.55059,0.4128,1.01178,1.02403,1.0973,0.000413722,0.000413722,0.000413722
72,828.203,0.92238,0.82943,1.03004,0.53225,0.55308,0.54494,0.40387,1.00582,1.03278,1.09053,0.000408647,0.000408647,0.000408647
