epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8146,1.52525,2.64958,1.26395,0.65363,0.28452,0.33963,0.21728,1.53945,2.63822,1.31742,0.000329004,0.000329004,0.000329004
2,21.065,1.52876,1.78253,1.27033,0.51336,0.37213,0.41818,0.26791,1.53439,1.68521,1.33156,0.000655781,0.000655781,0.000655781
3,30.2077,1.54882,1.74822,1.28674,0.34437,0.36304,0.28617,0.16877,1.70493,1.9741,1.41767,0.000975957,0.000975957,0.000975957
4,39.2708,1.56421,1.70781,1.30094,0.66956,0.34934,0.33371,0.20277,1.62589,1.85361,1.40784,0.0009703,0.0009703,0.0009703
5,48.3481,1.56255,1.70043,1.30681,0.48207,0.45812,0.42293,0.26506,1.61518,1.74766,1.3882,0.0009604,0.0009604,0.0009604
6,57.429,1.54262,1.6321,1.29689,0.41698,0.37629,0.37768,0.24085,1.62916,1.66747,1.38472,0.0009505,0.0009505,0.0009505
7,66.6059,1.52978,1.61653,1.29666,0.47939,0.3055,0.33766,0.20834,1.68984,1.79105,1.41063,0.0009406,0.0009406,0.0009406
8,75.7638,1.50526,1.56652,1.28715,0.53609,0.39598,0.39588,0.25729,1.60473,1.67914,1.37759,0.0009307,0.0009307,0.0009307
9,84.9339,1.50124,1.55007,1.28121,0.64902,0.34588,0.42721,0.27862,1.60116,1.62765,1.3689,0.0009208,0.0009208,0.0009208
10,94.0933,1.49602,1.50226,1.27197,0.4627,0.34381,0.36074,0.21876,1.67904,1.72752,1.40236,0.0009109,0.0009109,0.0009109
11,103.238,1.48096,1.50509,1.26924,0.51492,0.36493,0.40721,0.24436,1.57512,1.6136,1.38182,0.000901,0.000901,0.000901
1,14.2438,1.25342,2.77181,1.2126,0.36459,0.27806,0.29113,0.20813,1.16056,2.32118,1.14073,0.000253547,0.000253547,0.000253547
2,25.9999,1.25474,1.79369,1.20659,0.51576,0.38354,0.3807,0.24745,1.22469,1.63444,1.21893,0.000506515,0.000506515,0.000506515
3,37.596,1.25724,1.69508,1.2157,0.50205,0.42128,0.39966,0.27914,1.20375,1.55214,1.1969,0.0007561,0.0007561,0.0007561
4,49.1794,1.27665,1.64596,1.21363,0.43954,0.41495,0.40763,0.28698,1.16971,1.47572,1.19304,0.000753774,0.000753774,0.000753774
5,60.769,1.23766,1.56746,1.2031,0.5504,0.41887,0.42674,0.29524,1.20974,1.4412,1.19668,0.000748698,0.000748698,0.000748698
6,72.3745,1.2368,1.55171,1.19357,0.54675,0.4376,0.41454,0.28606,1.19228,1.42057,1.18955,0.000743623,0.000743623,0.000743623
7,84.0602,1.23047,1.51105,1.18437,0.43959,0.43265,0.4299,0.30015,1.20074,1.39024,1.18254,0.000738548,0.000738548,0.000738548
8,95.6345,1.22879,1.46899,1.19294,0.43411,0.42313,0.42263,0.30065,1.18795,1.38949,1.19662,0.000733472,0.000733472,0.000733472
9,107.108,1.19844,1.44236,1.17924,0.63773,0.39787,0.43324,0.30589,1.19676,1.38577,1.19124,0.000728397,0.000728397,0.000728397
10,118.419,1.20502,1.40801,1.17576,0.47475,0.45823,0.47439,0.33383,1.19069,1.33371,1.18901,0.000723321,0.000723321,0.000723321
11,129.836,1.19812,1.39133,1.17133,0.57754,0.4329,0.44891,0.32557,1.16132,1.33717,1.1698,0.000718246,0.000718246,0.000718246
12,141.621,1.18308,1.34672,1.16253,0.45002,0.44594,0.44408,0.31157,1.18982,1.36379,1.18748,0.000713171,0.000713171,0.000713171
13,153.253,1.16949,1.33937,1.16229,0.60177,0.40395,0.4192,0.28941,1.18108,1.36585,1.18052,0.000708095,0.000708095,0.000708095
14,164.682,1.16834,1.32754,1.16705,0.47878,0.43494,0.45971,0.3249,1.13642,1.27846,1.16505,0.00070302,0.00070302,0.00070302
15,176.118,1.14,1.29553,1.1513,0.47787,0.46839,0.48007,0.34695,1.14961,1.25544,1.16402,0.000697944,0.000697944,0.000697944
16,187.663,1.15563,1.28427,1.15545,0.49791,0.4712,0.48264,0.34944,1.15517,1.23681,1.16535,0.000692869,0.000692869,0.000692869
17,199.287,1.13818,1.25464,1.14335,0.5738,0.41163,0.44091,0.30473,1.19029,1.33127,1.18206,0.000687794,0.000687794,0.000687794
18,210.625,1.14725,1.24969,1.14611,0.4862,0.48465,0.49486,0.36018,1.14822,1.21938,1.15656,0.000682718,0.000682718,0.000682718
19,222.016,1.14062,1.25952,1.14153,0.4517,0.49991,0.47949,0.34569,1.13593,1.26405,1.14328,0.000677643,0.000677643,0.000677643
20,233.443,1.12438,1.22043,1.13494,0.44565,0.49981,0.46607,0.32053,1.18235,1.28364,1.1809,0.000672567,0.000672567,0.000672567
21,244.772,1.11772,1.21326,1.13838,0.48901,0.52507,0.48911,0.34947,1.1246,1.21094,1.15132,0.000667492,0.000667492,0.000667492
22,256.3,1.10779,1.18882,1.13401,0.53089,0.47586,0.49289,0.34985,1.15783,1.21844,1.16478,0.000662417,0.000662417,0.000662417
23,267.838,1.12422,1.19404,1.13122,0.4866,0.48097,0.48188,0.34046,1.1519,1.21058,1.16358,0.000657341,0.000657341,0.000657341
24,279.263,1.10287,1.1565,1.12494,0.46627,0.5221,0.49348,0.3569,1.13247,1.20887,1.15847,0.000652266,0.000652266,0.000652266
25,290.575,1.11405,1.15096,1.12051,0.6282,0.45204,0.50577,0.36868,1.13089,1.17569,1.15122,0.00064719,0.00064719,0.00064719
26,301.88,1.09925,1.15682,1.11575,0.4433,0.53357,0.48695,0.34837,1.12009,1.19858,1.14039,0.000642115,0.000642115,0.000642115
27,313.132,1.08031,1.13519,1.11168,0.52242,0.48173,0.50399,0.36139,1.12651,1.15717,1.15142,0.00063704,0.00063704,0.00063704
28,324.42,1.09231,1.12393,1.10852,0.53284,0.44093,0.48172,0.34561,1.10615,1.21369,1.13301,0.000631964,0.000631964,0.000631964
29,335.835,1.10116,1.12739,1.11695,0.63722,0.42399,0.48799,0.35643,1.09791,1.16481,1.12131,0.000626889,0.000626889,0.000626889
30,347.423,1.073,1.12524,1.10803,0.50258,0.50703,0.49791,0.36116,1.11137,1.14918,1.13091,0.000621813,0.000621813,0.000621813
31,359.07,1.0787,1.10446,1.10573,0.58668,0.45782,0.48934,0.36214,1.10891,1.15896,1.14087,0.000616738,0.000616738,0.000616738
